d,h,w
1.01596135978633,153.36078,68.9173
1.0155800564124,152.32635,68.29523
1.01553557318499,153.9415,68.50311
1.0155800564124,152.24805,68.369446
1.01355902874728,152.24957,68.89577
1.01112067847579,153.24863,69.03644
1.01011051995561,153.86499,69.05737
1.01116499433536,152.93091,68.6557
1.01116499433536,152.49704,68.9447
1.01217519491042,152.25244,69.054504
1.00813450863196,152.67648,68.991196
1.01180860261635,151.3421,68.248795
1.00877921468993,152.80048,68.72827
1.01084994354554,152.19186,68.28493
1.01084994354554,154.4343,68.65257
1.00883028969012,153.37335,68.87915
1.00984005652938,155.07779,68.81494
1.01488925121784,155.30377,69.14685
1.00847157150714,153.46835,69.05768
1.00640159306466,154.26093,68.54443
1.00675960375867,152.2799,68.855576
1.00776937866794,152.50345,68.81659
1.01217519491042,151.89948,68.65155
0.999610225326478,154.55673,69.21277
0.996924887958051,153.76788,69.77574
0.999291774632125,154.27368,70.22931
0.994950518007027,153.79367,69.98688
1.00234294754427,155.4801,69.17163
0.995071656779963,154.62442,70.567505
0.996508491695245,157.08615,70.27525
0.996444307589702,158.42328,69.93561
0.995129006156916,156.18915,70.72046
0.989391648557846,156.39429,70.06909
0.996386907755695,154.12512,69.71643
0.985877051027852,154.38605,70.11998
0.997836871685437,155.71628,72.80249
0.986234432636424,155.25317,72.65094
0.97965649469889,159.67133,69.36304
0.976645234816871,160.20715,68.82898
0.978241279954278,159.7691,68.188614
0.974624955238922,157.69772,69.58348
0.973083035914287,157.52817,70.77643
0.987113066531452,158.85922,70.917114
0.975765662110168,158.25305,70.54169
0.977341125347654,151.31259,70.647766
0.971175865025385,159.85364,68.46448
0.976025282855108,162.7218,69.07477
0.975838106616606,159.48804,70.20044
0.976608831145421,157.95453,71.63489
0.978459436275115,157.56042,70.59796
0.977500870337095,161.14435,71.36011
0.979667732457532,161.52562,68.69342
0.975863690198005,163.28015,67.12915
0.971873912725209,161.2495,68.04486
0.973892582607614,160.614,68.074585
0.976301333009773,162.90283,69.05127
0.971294664472086,161.2556,70.07428
0.97638203693063,162.99916,70.181274
0.976308080208649,163.37196,71.08057
0.967369276475059,163.58717,70.411865
0.97117094035549,162.60254,70.38574
0.964883207622212,162.37523,69.51434
0.965912734267572,158.39001,70.50391
0.95907339898543,161.52916,70.91199
0.956043149137316,160.32977,70.590454
0.956138712246514,161.9032,71.148926
0.951970361396633,162.54651,71.45947
0.951948306582849,161.66357,70.49103
0.9529492908184,162.90741,70.59015
0.936943815050021,161.65651,70.4104
0.943847929300862,165.56932,69.22009
0.925832511810197,166.61554,68.65723
0.925357467883563,167.71674,71.13287
0.924480101501757,167.87299,71.5022
0.923468876828766,166.87756,70.94324
0.917459336054951,169.13329,71.559204
0.922467296549619,168.22876,71.601074
0.915522170187359,168.34155,72.539795
0.927978431092487,165.25218,71.406006
0.930939924111657,166.67273,70.20264
0.936987933331167,165.39906,70.11987
0.927744984057759,166.32263,70.285095
0.950382901200534,164.302,71.993774
0.933275909174869,164.62624,70.49036
0.951086412257353,165.74046,69.77356
0.951031855894899,159.32175,72.269775
0.949054449875104,159.4867,72.203
0.951083757886309,160.00266,70.980896
0.948083532405805,160.69525,69.755005
0.947119002566648,160.56207,70.04132
0.956051823919306,160.00455,72.2713
0.947131754827436,164.12877,71.96173
0.932353042749606,164.85657,72.081604
0.93384314647175,164.15344,70.28516
0.931145006792476,165.59949,71.39221
0.926495774247899,166.01831,70.40991
0.924689566022629,167.44289,72.3844
0.925849971998162,167.10571,73.88037
0.927959039529936,165.54645,72.3479
0.928070414228943,165.72815,73.09949
0.930074860062296,166.0034,71.84808
0.928188132942443,166.52734,72.81726
0.928188132942443,166.58678,72.37207
0.924178673157913,165.60927,72.37744
0.918403964935539,164.8924,71.95642
0.921411799288582,165.03918,73.19537
0.907308839024127,163.77014,73.490234
0.909126431575355,167.32411,73.1922
0.90740765413584,167.89403,73.006714
0.916346536859044,165.9057,74.33917
0.909413008563798,168.01794,73.24609
0.906495346396038,167.75641,72.71387
0.907261584374498,164.18944,73.26697
0.906172786419334,166.32037,74.17261
0.906432045409394,169.38934,72.74225
0.908235100208229,169.80621,73.06116
0.903054045166677,171.7047,72.65991
0.897776407581024,173.43903,73.44159
0.894819848904876,168.49669,76.21985
0.902631303224631,173.99078,74.069214
0.897698994814287,173.8999,74.08856
0.899837004038984,173.59511,73.80499
0.90170211992023,173.66954,73.89758
0.897698994814287,173.69664,73.82739
0.900760254386956,174.08539,73.92322
0.902761977608586,174.56384,74.30731
0.887431162938505,170.71692,74.198975
0.883985683062662,171.6308,76.33374
0.872600129343758,177.78102,77.93909
0.872875426599131,176.89899,77.00006
0.881086177052603,172.3429,78.089355
0.879234992307486,171.23499,78.16852
0.88329691649058,173.25745,77.59491
0.881400081228326,174.80408,78.47876
0.868319688642547,174.6975,78.980835
0.869868946182053,175.5996,76.44989
0.8642205920595,181.72186,78.880005
0.869915299803857,176.83531,79.76239
0.861503480077321,176.14502,81.79529
0.86105167836152,173.92714,76.62891
0.8620952810025,175.33508,76.5462
0.852046217100365,172.91925,77.15436
0.860046607127137,174.64685,76.55145
0.856046441919306,176.69989,75.93689
0.856026025048179,176.76068,75.43347
0.852049411736514,177.2312,76.51135
0.852046217100365,176.43652,76.68695
0.853025913090371,176.3854,76.77075
0.860046607127137,174.69028,76.66943
0.877029918425437,176.22131,76.51727
0.869027432162339,172.55014,74.07825
0.866318479122611,174.67828,77.27258
0.867781732508923,174.99901,76.62933
0.870564133459331,176.84204,76.808105
0.873020482566946,171.35101,75.063354
0.877546869903759,169.39455,76.17255
0.874132674326046,173.38173,75.75696
0.87096836932309,176.60608,75.230286
0.87512890322563,173.68787,75.72229
0.869020048704689,174.11867,72.57898
0.869936322061701,176.45734,73.20996
0.864543573984575,177.71515,73.11633
0.865904163956322,175.1012,73.01416
0.851168644011671,173.0191,76.58838
0.855002099035644,177.46954,73.356445
0.849906761912311,176.24876,74.4942
0.844210764186063,177.41283,75.47388
0.840700334819749,177.27716,74.838135
0.84516306454179,176.02313,76.57605
0.838375553138059,176.06921,77.32422
0.835229046761061,174.78578,77.47778
0.832558789250542,181.33655,80.237305
0.829723524622169,179.53699,78.96887
0.827522613217636,181.2466,80.04578
0.823567602209711,181.80385,80.03296
0.822946513827073,180.51622,78.82178
0.824768278083273,179.84473,78.91943
0.826893445558989,181.73248,77.83099
0.829527608069694,178.87323,78.39929
0.831984541815167,181.03505,79.25134
0.827945773938133,177.7351,77.69183
0.830370781242384,182.81512,77.328125
0.845873981879513,179.07452,78.04541
0.835187628707694,179.23993,76.310425
0.840989506237666,175.61102,78.023926
0.843353623161066,176.91913,77.37866
0.836059102107819,175.81927,77.61389
0.838738536906776,175.35553,77.45032
0.841207405648068,177.7691,77.04944
0.836141888162025,179.23743,79.021484
0.84460032928737,179.53416,76.799194
0.838192922010055,177.38951,77.85492
0.843668082672387,180.24066,77.83923
0.84112543201812,176.07483,77.30414
0.842690278433948,180.44885,78.04895
0.837179730344895,179.10204,76.921265
0.836384139712575,179.44537,77.419495
0.83845431091085,181.94164,77.62366
0.841712868302737,184.32643,78.46826
0.841517399696805,184.0072,80.68231
0.840493935128843,183.74957,80.60095
0.840208941073431,187.6549,78.04962
0.840227504622051,187.3263,77.732666
0.84168290212513,185.8855,79.19183
0.841886247672261,185.47597,78.83411
0.849930929282321,184.22626,78.56836
0.844213866725712,184.1327,77.11926
0.845688731133028,185.59534,76.67914
0.846936872354603,185.3114,76.15332
0.844146491480163,184.04027,75.7876
0.845945102174735,182.99,77.06799
0.852962775608686,182.94334,76.566284
0.857427697708114,176.8692,74.92969
0.856885783157716,178.34418,75.55054
0.85677684963557,174.03099,76.61304
0.871013943656954,172.10626,75.24841
0.869794296382293,170.53258,75.03577
0.871762673895968,171.63995,74.78778
0.871458999792209,171.74745,75.83789
0.871352377104154,173.92299,72.59827
0.869952052005803,174.2627,72.382935
0.868945176078277,171.65367,72.190674
0.8666845651051,171.30528,73.271484
0.865262728863671,173.34044,73.6958
0.851400661064034,174.33026,74.82312
0.850262496703083,176.74268,75.04614
0.847385514009173,175.7763,76.28162
0.839459162999431,177.17444,76.11749
0.837827532145967,178.94122,77.4187
0.838487726021127,175.35889,78.874756
0.836418478593805,175.23987,79.08679
0.839315031079238,173.27577,78.94281
0.828900953978792,175.38629,78.99518
0.834754424247224,175.45715,80.61487
0.838541156923528,176.45164,77.21802
0.838417164968937,176.55959,76.624146
0.838979877829052,176.08868,76.86481
0.839633706881906,179.04437,77.63953
0.845343456755461,179.73816,77.47894
0.849734883417884,175.56178,75.179504
0.862006128645163,177.89392,72.574646
0.8537935595808,181.23456,73.73224
0.853334666979499,176.86778,75.08801
0.846094851698898,176.78064,75.538635
0.84305876904687,177.08095,75.2157
0.855311326696656,176.59283,75.96936
0.843534838989044,184.0967,76.91052
0.836556515795011,182.43762,76.50232
0.831964234808675,181.88062,75.51538
0.837013426540906,179.44994,77.62024
0.828317315276632,181.29053,78.43524
0.825767185296586,179.91833,78.38092
0.82089409619421,179.20294,77.982544
0.807968723269295,181.83545,79.164246
0.80451937728569,183.8656,75.48859
0.807208611892703,183.8142,78.0067
0.805612694097536,182.2503,77.1734
0.800781387250387,182.37598,78.83949
0.80607929132944,184.69518,79.62537
0.805415729250755,182.11548,78.82538
0.807752998802224,182.37378,78.67934
0.808930495209265,181.41895,78.45949
0.810243368629724,182.95465,77.79089
0.80848152703847,182.7676,79.170105
0.812467969680137,183.39203,78.726746
0.808327323930846,184.26561,80.06836
0.800610512187792,184.23047,78.20351
